Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Notes
74321560932,Big Punisher,Capital Punishment,Loud Records,"CD, Album",4,1998,1104994,RAP,2014-08-15 11:57:09,
LOUD 9125-2,The Beatnuts,Classic Nuts Volume 1,Loud Records,"CD, Comp",4,2002,256598,RAP,2010-03-26 06:44:59,
RDJ 62880-2,Tha Alkaholiks,Mary Jane / Relieve Yourself,Loud Records,"CD, Single, Promo",5,1994,1838039,RAP,2009-08-20 00:00:00,
RDJ 62962-2,Cella Dwellas,Land Of The Lost,Loud Records,"CD, Single, Promo",5,1994,2383348,RAP,2010-08-03 03:27:04,
RDJ 64792-2,Buckshot,No Joke / Follow Me,Loud Records,"CD, Single, Promo",5,1997,1738896,RAP,2010-04-14 15:43:16,
RDJ 64957-2,Wu-Tang Clan,It's Yourz,Loud Records,"CD, Single, Promo",5,1997,2256694,RAP,2010-05-01 07:25:24,
RDJ-64580-2,Cella Dwellas,Advance To Boardwalk,Loud Records,"CD, Single, Promo",5,1996,2383307,RAP,2010-08-03 02:56:08,
RDJ-65663-2,Pete Rock,Take Your Time,Loud Records,"CD, Single, Promo",5,1998,3949349,RAP,2012-10-14 08:11:50,
RPROCD 4473,The Beatnuts,No Escapin' This,Loud Records,"CD, Maxi, Promo",5,2000,920786,RAP,2009-08-20 00:00:00,
07863-65412-2,24/7 (2),24/7,"Loud Records, BMG Entertainment","CD, Single, Dig",4,1998,1222310,RAP,2013-01-26 07:51:48,
"62766-2, RCA 07863",Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),"Loud Records, BMG, RCA","CD, Maxi, RE",5,0,807872,RAP,2009-08-20 00:00:00,
"74321619322, 74321 619322",Pete Rock With Inspectah Deck & Kurupt,Tru Master,"Loud Records, Loud Records","CD, Maxi",5,1998,1087290,RAP,2009-11-19 12:28:23,
"RDJ-65356-2, RDJ 65356-2",Tha Alkaholiks,All Night,"Loud Records, Loud Records","CD, Single, Promo",5,1997,1751956,RAP,2011-09-03 03:06:50,
"RDJ-65500-2, RDJ 65500-2",Delinquent Habits,Western Ways,"Loud Records, Loud Records","CD, Single, Promo",5,1998,4231582,RAP,2013-01-26 08:48:54,
07863 64202-2,Tha Alkaholiks,Daaam!,"Loud Records, RCA","CD, Single",5,1994,3374971,RAP,2012-06-28 10:25:54,
"07863 67435-2, 67435-2",Tha Alkaholiks,Likwidation,"Loud Records, RCA","CD, Album",5,1997,1902563,RAP,2009-08-26 02:31:13,
07863-64422-2,Mobb Deep,Temperature's Rising / Give Up The Goods (Just Step),"Loud Records, RCA","CD, Single",5,1995,1131540,RAP,2012-10-25 08:29:52,
"64527-2, 07863 64527-2",Yvette Michele,Everyday & Everynight (Remix),"Loud Records, RCA","CD, Single",5,1995,1389845,RAP,2009-08-20 00:00:00,
07863 64426-2,Raekwon Featuring Tony Starks ( Ghostface Killah,Ice Cream / Incarcerated Scarfaces,"Loud Records, RCA Records Label, BMG","CD, Single",5,1995,921734,RAP,2017-01-27 04:35:11,
RDJ 64632-2,Mobb Deep,G.O.D. Pt. III,"Loud Records, RCA Records Label, BMG","CD, Single, Promo",5,1996,2098133,RAP,2010-06-25 07:36:42,
RDJ 64655-2,Mobb Deep,Drop A Gem On ‘Em,"Loud Records, RCA Records Label, BMG","CD, Promo",5,1996,728798,RAP,2012-12-05 13:37:19,
RDJ 64685-2,Mobb Deep,Front Lines (Hell On Earth),"Loud Records, RCA Records Label, BMG","CD, Single, Promo",5,1996,2098147,RAP,2012-04-14 02:50:35,
"07863 64355-2, 64355-2",Mobb Deep,Survival Of The Fittest,"Loud Records, RCA Records Label, BMG, Loud Records, RCA Records Label, BMG",CD,5,1995,2512603,RAP,2012-04-14 02:50:05,
"RCA 07863 64315-2, 64315-2",Mobb Deep,Shook Ones Part II,"Loud Records, RCA Records Label, BMG, Loud Records, RCA, BMG","CD, Single",5,1995,1005663,RAP,2009-12-08 16:22:48,
07863 64833-2,Mobb Deep,G.O.D. Pt. III,"Loud Records, RCA, BMG","CD, Single, Dig",5,1997,2628835,RAP,2014-03-05 23:34:51,
07863-64322-2,Tha Alkaholiks,The Next Level,"Loud Records, RCA, BMG","CD, Single",5,1995,1003385,RAP,2012-06-29 03:06:17,
74321457682,Wu-Tang Clan,Wu-Tang Forever,"Loud Records, RCA, BMG","CD, Enh + CD + Album",4,1997,569993,RAP,2015-01-24 08:24:42,
RDJ-65568-2,Pete Rock Featuring Inspectah Deck & Kurupt,Tru Master,"Loud Records, RCA, BMG","CD, Single, Promo",5,1998,2006965,RAP,2009-11-13 13:57:54,
"RCA 07863 6 4377-2, 64377-2",Cella Dwellas,Good Dwellas,"Loud Records, RCA, Loud Records, RCA","CD, Single",5,1995,3459916,RAP,2013-09-21 07:30:16,
"RCA 07863 64531-2, 64531-2",Cella Dwellas,Perfect Match,"Loud Records, RCA, Loud Records, RCA","CD, Single",5,1996,2922548,RAP,2013-09-21 07:29:55,
RDJ 62747-2,Wu-Tang Clan,Method Man (Remix),"Loud Records, Wu-Tang Records","CD, Single, Promo",5,1993,1903225,RAP,2009-08-26 12:55:17,
LB 001,Kev Brown,Random Joints,Low Budget Records,"CD, Album, Car",5,2012,3706972,RAP,2014-04-27 03:45:38,
LB008,Kev Brown,Songs Without Words Vol. 1 & 2,"Low Budget Records, Redefinition Records","CD, Album",5,2013,7053614,RAP,2015-12-30 11:34:21,
none,Skyzoo & Antman Wonder,An Ode To Reasonable Doubt,"Loyalty Digital Corp., First Generation Rich, Inc.","CD, EP, Ltd",5,2014,6605171,RAP,2016-03-25 07:25:52,
110302,Professor Griff,Sista Sista,Luke Records,"CD, Single",3,1993,1298484,RAP,2010-07-05 07:40:13,
CDXR 120-2,Home Team,Via Satellite From Saturn,Luke Records,"CD, Album",5,1992,2194620,RAP,2017-11-13 06:42:54,ny
PRCD 4452-2,Professor Griff,Verbal Intercourse,Luke Records,"CD, Single, Promo",3,1991,1323673,RAP,2010-07-05 07:38:32,
LUNCD 064,Stasio,Rozbujnik,Luna Music (2),"CD, Album",4,2000,4205864,RAP,2014-12-08 01:39:40,
LUNCD 260,Sinusoidal,Sinusoidal EP,Luna Music (2),"CD, EP",5,2011,3077095,NO RAP,2014-11-23 13:19:44,
LUNCD263,Sinusoidal,Out Of The Wall,Luna Music (2),"CD, Album",5,2011,3130922,NO RAP,2014-11-23 13:20:15,
80119-01187-2,Mayonnaise,Mayonnaise,Lunaticworks,"CD, Album",5,2004,471355,NO RAP,2016-05-13 14:09:15,
80119-01259-2,Howie B. & Húbert Nói,Music For Astronauts And Cosmonauts,Lunaticworks,"2xCD, Album",5,2007,2017716,NO RAP,2011-01-25 08:40:42,
"FW1/4, FW1",Richie Hawtin - Pete Namlook,From Within I,"M_nus, M_nus","CD, Album, RE",5,2000,4751,NO RAP,2009-08-20 00:00:00,
"FW2/4, FW2",From Within,From Within II,"M_nus, M_nus","CD, Album",5,2000,4750,NO RAP,2009-08-20 00:00:00,
"FW3/4, FW3",From Within,From Within III,"M_nus, M_nus","CD, Album, RE",5,2000,3741,NO RAP,2009-08-20 00:00:00,
MMPP-003,Obywatel G.C.,Obywatel Świata,M. M. Potocka Productions,"CD, Album",5,1992,843335,NO RAP,2009-08-20 00:00:00,
MIA-CD972,Krumb Snatcha,Snatcha Season Pt. 1,M.I.A. Recording Corp.,"CD, Album",4,1998,1379847,RAP,2009-08-20 00:00:00,
BB5108,Sparky D,This Is Sparky-D's World,M.I.L. Multimedia,"CD, Album",4,1997,1217471,RAP,2017-11-13 06:31:42,ny
MMPP-001,Republika,1991,M.M. Potocka Production,"CD, Album",5,1991,835539,NO RAP,2009-08-20 00:00:00,
"Nr 014, none",Various,Osiedle Pełne Rymów Czyli Hip Hop Jak Okiem Sięgnąć,"Machina, RRX","CD, Comp, Promo",5,1998,2991266,RAP,2014-12-12 07:37:46,
GM 15-015,Onyx,Against All Authorities,"Mad Money Movement, Major Independents, Goon MuSick, Good Friday Entertainment","CD, EP, Dig",5,2015,7006221,RAP,2016-01-18 13:13:54,
162619000-2,Trends Of Culture,Trendz...,Mad Sounds Recordings,"CD, Album",5,1993,1133474,RAP,2013-07-20 18:37:20,
374631108-2,Tha Mexakinz,Phonkie Melodia / Push Up N Da Wrong 1,Mad Sounds Recordings,"CD, Single, Promo",5,1993,3264725,RAP,2013-07-20 17:45:20,
374631299-2,Trends Of Culture,Make A Move,Mad Sounds Recordings,"CD, Maxi, Promo",5,1995,3073506,RAP,2014-06-02 05:13:20,
374634849-2,El Dogg,I Gotta Get My Sag On/Make You Happy,Mad Sounds Recordings,"CD, Maxi",,1994,8612555,RAP,2017-10-22 06:48:34,
860 105-2,Trends Of Culture,Off & On,Mad Sounds Recordings,"CD, Maxi",5,1993,744878,RAP,2014-09-18 03:14:41,
none,Onyx,Cold Case Files Vol. 2,Major Independents,"CDr, Comp",5,2014,9329073,RAP,2016-11-09 05:28:16,
MKCD011,Royal Flush,Street Boss (The Official Street Album),Major Key Entertainment,"CD, Album",4,2005,1632029,RAP,2013-03-08 03:46:53,
88697692232,Hurts,Wonderful Life,"Major Label (4), Four Music, RCA","CD, Single",5,2010,2391632,NO RAP,2012-11-19 15:51:14,
MBD082,Rock Marciano,Marci Beaucoup,Man Bites Dog Records,"CD, Album",5,2014,5377010,RAP,2014-03-11 14:55:04,
none,Rock Marciano,The Pimpire Strikes Back,Man Bites Dog Records,"CDr, Mixtape",,2013,5320998,RAP,2016-08-20 05:26:37,
74321 15126 2,Chaka Demus & Pliers,Tease Me,Mango,"CD, Maxi",5,1993,639113,NO RAP,2012-08-04 13:38:40,
PRCD 873-2,Apache Indian and Tim Dog,Make Way For The Indian,Mango,"CD, Maxi, Promo",5,1995,1223781,RAP,2013-08-17 03:28:18,
ML 15,Izrael Meets Mad Professor And Joe Ariwa,Izrael Meets Mad Professor And Joe Ariwa,Manufaktura Legenda,"CD, Album",5,2010,2774707,NO RAP,2017-04-04 08:19:23,
ML 21,Siekiera,Ballady Na Koniec Świata,Manufaktura Legenda,"CD, Album",5,2011,3274616,NO RAP,2012-08-04 14:40:55,
ML 26,Izrael,1991,MANUFAKTURA LEGENDA,"2xCD, Album, Dlx, RE",5,2017,10399224,NO RAP,2017-10-23 12:31:10,
FB5182,Rock Marciano,Rosebudd's Revenge,Marci Enterprises LLC.,"CD, Album",4,2017,10153228,RAP,2017-08-11 08:40:10,
0088052MRO,DJ Krush,Meiso,Marlboro Music,"CD, Maxi",,1996,797932,NO RAP,2011-08-09 06:13:33,
MJCD-002,Mannish,Audio Sedative,Mary Joy Recordings,"CD, Album",5,1996,7374981,RAP,2017-06-05 04:29:31,NY
MJCD-021,Sach,Suckas Hate Me,Mary Joy Recordings,"CD, Album",,2002,1830172,RAP,2016-04-30 06:16:14,
MKCM-1008,Ultramagnetic MC's,The Four Horsemen,Mary Joy Recordings,"CD, Album",5,1999,3092971,RAP,2013-02-26 02:41:06,
0963,Various,U.S.C. Hip Hop NYC Real Deal Underground,MasterTone,"CD, Comp",5,1999,1627486,RAP,2016-04-14 03:35:48,
OLE 334-2,Burger / Ink,[Las Vegas],Matador,CD,4,1998,66094,NO RAP,2009-08-20 00:00:00,
OLE 460-2,Jimi Tenor,Out Of Nowhere,Matador,"CD, Album",5,2000,131966,NO RAP,2017-11-13 06:24:51,ny
OLE-1040-2,Queens Of The Stone Age,...Like Clockwork,Matador,"CD, Album",5,2013,4608810,NO RAP,2014-10-31 01:50:12,
"OLE 482-2, Ole 482-2",Techno Animal,The Brotherhood Of The Bomb,"Matador, Matador","CD, Album",4,2001,69584,NO RAP,2011-07-30 10:34:52,
"OLE 507-2, Ole 507-2",Techno Animal,Dead Man's Curse,"Matador, Matador",CD,5,2001,73555,NO RAP,2009-08-20 00:00:00,
9362-45770-2,Dana Dane,Rollin' Wit Dana Dane,Maverick,"CD, Album",4,1995,3059138,RAP,2015-11-13 16:24:58,
9362-47439-2,Me'Shell NdegéOcello,Bitter,Maverick,"CD, Album",5,1999,738210,NO RAP,2012-11-19 15:13:48,
PRO-CD-100798,Me'Shell NdegéOcello,Pocketbook,Maverick,"CD, Single, Promo",5,2002,727305,NO RAP,2010-11-26 05:11:27,
PRO-CD-9542,Baxter,Television,Maverick,"CD, Maxi, Promo",5,1998,92168,NO RAP,2009-08-20 00:00:00,
9362-46033-2,Me'Shell NdegéOcello,Peace Beyond Passion,"Maverick, Reprise Records","CD, Album",5,1996,738209,NO RAP,2012-11-19 15:21:45,
MXLP-5001,Sagat,My Poem Is... The World According To Sagat,Maxi Records,"CD, Album",5,1994,868804,RAP,2016-05-02 10:19:26,
112 439-2,Common,Like Water For Chocolate,MCA Records,"CD, Album",5,2000,819982,RAP,2010-04-10 06:26:57,
155 799-2,Common,Geto Heaven (T.S.O.I. Remix),MCA Records,"CD, Single",5,2001,2225337,RAP,2010-04-10 06:35:40,
20P2-2056,Steely Dan,Gaucho,MCA Records,"CD, Album, RE",5,1988,4038310,NO RAP,2017-10-26 12:42:04,
MCA5P 2757,Parental Advisory,Maniac,MCA Records,"CD, Single, Promo",5,1993,4291438,RAP,2016-12-12 01:41:31,
MCA5P-2774,Capital Tax,The Masha,MCA Records,"CD, Single, Promo",5,1993,2006955,RAP,2009-11-13 13:44:56,
MCA5P-2791,Chilly Tee,Get Off Mine,MCA Records,"CD, Single, Promo",,1993,3649452,RAP,2017-11-13 06:20:54,ny
MCA5P-2791,Chilly Tee,Get Off Mine,MCA Records,"CD, Single, Promo",,1993,3649452,RAP,2017-11-13 06:34:06,ny
MCA5P-2937,Parental Advisory,Ghetto Head Hunta,MCA Records,"CD, Single, Promo",5,1994,4140858,RAP,2013-02-17 06:25:17,
MCA5P-2994,Crooklyn Dodgers,Crooklyn,MCA Records,"CD, Single, Promo",5,1994,1903234,RAP,2009-08-26 13:02:56,
MCA5P-3071,Big Daddy Kane,In The PJ's,MCA Records,"CD, Single, Promo",5,1994,3717895,RAP,2013-05-02 16:04:03,
MCA5P-3501,Sista (2) Featuring Craig Mack,It's Alright,MCA Records,"CD, Single, Promo",,1995,3559763,RAP,2014-07-08 03:58:17,
MCA5P-4187,All City,The Actual,MCA Records,"CD, Single, Promo",5,1998,1389826,RAP,2009-08-20 00:00:00,
MCA5P-4195,Heather B.,Do You,MCA Records,"CD, Single, Promo",5,1998,3530091,RAP,2013-01-26 08:50:19,
MCA5P-4354,Rahzel,All I Know,MCA Records,"CD, Single, Promo",5,1999,1379857,RAP,2009-08-20 00:00:00,
MCAD-10594,Eric B. & Rakim,Don't Sweat The Technique,MCA Records,"CD, Album",5,1992,412050,RAP,2015-11-11 11:48:47,
MCAD-10784,Capital Tax,The Swoll Package,MCA Records,"CD, Album",5,1993,810223,RAP,2010-03-02 13:42:44,
MCAD-10900,Parental Advisory,Ghetto Street Funk,MCA Records,CD,4,1993,815032,RAP,2013-01-26 08:49:32,
MCAD-6352,Freddie Foxxx,Freddie Foxxx Is Here,MCA Records,"CD, Album",5,1989,1033884,RAP,2014-09-12 15:16:11,
MCAD-6416,Eric B. & Rakim,Let The Rhythm Hit 'Em,MCA Records,"CD, Album",5,1990,415454,RAP,2015-06-10 22:38:43,
MCAR-25015-2,Common,The 6th Sense (Something U Feel),MCA Records,"CD, Single",5,2000,2225354,RAP,2010-04-10 07:09:42,
MCD 30274,Young Black Teenagers,Tap The Bottle,MCA Records,"CD, Maxi",5,1993,874568,RAP,2013-06-17 03:24:38,
MCD 32545,Mary J. Blige,I'm Goin' Down,MCA Records,"CD, Maxi",5,1995,1270844,NO RAP,2012-11-04 12:02:05,
MCD 33530,Aaron Hall featuring Redman,Curiosity,MCA Records,"CD, Single",5,1995,3205052,NO RAP,2012-08-09 16:29:16,
MCD 49027,Mary J. Blige,Love Is All We Need,MCA Records,"CD, Maxi",5,1997,1893378,NO RAP,2012-11-04 12:00:32,
MCD 84047,Cut Killer,Hip Hop Soul Party Volume 2,MCA Records,"2xCD, Comp, Mixed",4,1996,2474118,RAP,2016-12-28 14:58:17,
MCSTD 48083,Mary J. Blige,Seven Days,MCA Records,"CD, Single",4,1998,2269263,NO RAP,2013-04-22 03:44:10,
MVCM-328,Heavy D. & The Boyz,Blue Funk,MCA Records,"CD, Album, RE",5,1995,3949139,RAP,2012-10-14 07:06:10,
"DMCL 1871, MCD 03287",Various,Music From The Television Series Miami Vice,"MCA Records, MCA Music Entertainment GmbH","CD, Comp",5,1985,1206047,NO RAP,2015-10-11 01:33:29,
"MCA5P-2192, MCA5P 2192",Eric B. & Rakim,Don't Sweat The Technique,"MCA Records, MCA Records","CD, Single, Promo",,1992,1279491,RAP,2013-08-23 03:21:04,
"UPTDM 54614, UPTDM-54614",Heavy D. & The Boyz,Truthful,"MCA Records, MCA Records, Uptown Records, Uptown Records","CD, Maxi",4,1993,1279885,RAP,2009-08-20 00:00:00,
MCD 33563,Coolio Featuring LV,Gangsta's Paradise,"MCA Records, MCA Soundtracks","CD, Maxi",5,1995,346169,RAP,2012-08-04 13:43:38,
"MCD 49100, 149 100-2",The Roots Featuring Erykah Badu,You Got Me,"MCA Records, Universal Music","CD, Maxi",5,1999,790678,RAP,2012-08-09 15:02:39,
"MCA5P 2553, UPT5P-2553",Heavy D. & The Boyz,Truthful / Blue Funk,"MCA Records, Uptown Records","CD, Single, Promo",5,1992,1279945,RAP,2009-08-20 00:00:00,
MCSXD 2033,Mary J. Blige,Be Happy,"MCA Records, Uptown Records","CD, Single",5,1994,131765,RAP,2017-01-10 04:40:09,
MVCM-462,Heavy D. & The Boyz,Nuttin' But Love,"MCA Records, Uptown Records","CD, Album, RE",5,1996,3949205,RAP,2012-10-14 07:24:04,
MVCM-68,Heavy D. & The Boyz,Peaceful Journey,"MCA Records, Uptown Records","CD, Album",5,1991,1252498,RAP,2012-10-14 06:59:20,
UPT5P-3169,Heavy D. & The Boyz,Black Coffee,"MCA Records, Uptown Records","CD, Single, Promo",5,1994,1389852,RAP,2009-08-20 00:00:00,
MCA5P-3492,Crooklyn Dodgers '95,Return Of The Crooklyn Dodgers,MCA Soundtracks,"CD, Single, Promo",5,1995,3307458,RAP,2013-05-02 16:01:42,
MCAD-11304,Various,Clockers (Original Motion Picture Soundtrack),MCA Soundtracks,"CD, Album, Comp",5,1995,443841,NO RAP,2017-10-23 06:56:10,
MCADM-55143,Aaron Hall Featuring Redman,Curiosity,MCA Soundtracks,"CD, Single, CD5",5,1995,2245487,Uncategorized,2013-04-27 07:28:10,
CD 13009,Tilt (4),Tilt,Mega Czad,"CD, Album, RE",5,2000,860954,NO RAP,2013-04-20 12:34:38,
CD 13010,Tilt (4),Czad Kommando Tilt,"Mega Czad, Agencja Artystyczna MTJ","CD, Album, RE",5,2000,2190803,NO RAP,2013-04-20 12:35:46,
MRCXCD 2581,Naughty By Nature,Written On Ya Kitten,Mega Records,"CD, Maxi",5,1993,2224989,RAP,2010-04-10 03:06:35,
CAR 9629-2,Lewis Parker,Masquerades & Silhouettes (The Ancients Series One),Melankolic,"CD, Album",5,1998,28900,RAP,2017-11-13 11:16:48,
CD-MMG019,Hassaan Mackey & Apollo Brown,Daily Bread,Mello Music Group,"CD, Album",5,2011,3132486,RAP,2013-05-02 06:51:43,
CD-MMG025,Various,Self Sacrifice,Mello Music Group,"CD, Comp",,2012,3506214,RAP,2017-10-13 07:27:26,
CD-MMG032,Apollo Brown + Guilty Simpson,Dice Game,Mello Music Group,"CD, Album",5,2012,4132140,RAP,2013-04-15 03:12:05,
CD-MMG051,Apollo Brown,Thirty Eight,Mello Music Group,"CD, Album + 5""",,2014,5701129,RAP,2014-09-11 03:12:06,
MMG-00063-1,Diamond District,March On Washington Redux,Mello Music Group,"CD, Album",5,2015,6797450,RAP,2016-12-28 15:55:15,
MMG-00071-2,Pete Rock,PeteStrumentals 2,Mello Music Group,"CD, Album",5,2015,7148446,RAP,2015-06-27 02:46:36,
MMG-00077-2,Apollo Brown,Grandeur,Mello Music Group,"CD, Album",5,2015,7518494,RAP,2015-11-13 14:04:15,
MMG058,Apollo Brown & Ras Kass,Blasphemy,Mello Music Group,"CD, Album",4,2014,6244384,RAP,2015-01-13 10:50:40,
MMGCD009,Apollo Brown,The Reset,Mello Music Group,"CD, Album",5,2010,2296495,RAP,2013-03-27 04:44:28,
MMGCD011,The Left,Gas Mask,Mello Music Group,"CD, Album",5,2010,2519030,RAP,2013-05-29 10:48:27,
MMGCD012,Boog Brown / Apollo Brown,Brown Study,Mello Music Group,"CD, Album",5,2010,2502973,RAP,2013-07-07 05:00:57,
MMGCD015,Apollo Brown,Clouds,Mello Music Group,"CD, Album, Dig",5,2011,2750312,RAP,2013-04-15 03:12:21,
none,Boog Brown,The Brown Study Remixes,Mello Music Group,CDr,4,2011,4337844,RAP,2017-09-14 13:06:47,
CDMMG011,The Left,Gas Mask,"Mello Music Group, 24 Carat Brown Music","CD, Album",5,2010,4400338,RAP,2013-07-20 18:03:45,
CD-MMG039,Hus Co-Starring Rock Marciano,The Cognac Tape,"Mello Music Group, Fat Beats","CD, Mixtape",5,2013,5376941,RAP,2014-03-11 14:55:27,
"CD-MMG026, MMG026",Apollo Brown + O.C.,Trophies,"Mello Music Group, Mello Music Group","CD, Album, Ltd",5,2012,3640938,RAP,2013-02-07 08:49:05,
"CDMMG036, MMG 036-2",Ugly Heroes (2),Ugly Heroes,"Mello Music Group, Mello Music Group, 24 Carat Brown Music","CD, Album, Dig",5,2013,4600159,RAP,2013-07-20 18:10:26,
MI014CD2,Broadway Project,Compassion,Memphis Industries,"CD, Album, RE + CD",5,2002,182312,NO RAP,2016-03-24 04:28:08,
MCDY0502,Yaggfu Front,The Secret Tapes,Mends Recordings,"CD, Comp",5,2002,1619523,RAP,2012-02-01 05:04:09,
063 449-2,Elton John,Greatest Hits 1970-2002,Mercury,"2xCD, Comp",5,2002,2110566,NO RAP,2012-11-19 15:35:53,
1742072,Mark Knopfler,Kill To Get Crimson,Mercury,"CD, Album, Sup",4,2007,1113644,NO RAP,2013-12-22 04:58:35,
314 510 893-2,Ultramagnetic MC's,Funk Your Head Up,Mercury,"CD, Album",5,1992,459649,RAP,2010-04-09 15:34:42,
314 514 823-2,Bar-Kays,The Best Of Bar-Kays,Mercury,"CD, Comp",5,1993,2645174,NO RAP,2014-11-23 15:53:55,
314 518 455-2/4,Yaggfu Front,Left Field,Mercury,"CD, Single, Promo",5,1994,1352001,RAP,2009-08-20 00:00:00,
314 518 882-2,Various,Mi Vida Loca (Original Motion Picture Soundtrack),Mercury,"CD, Album, Comp",4,1994,472513,RAP,2017-01-10 04:31:47,
314 522 661-2,Ill Al Skratch,Creep Wit' Me,Mercury,"CD, Album",5,1994,228950,RAP,2014-09-12 15:07:39,
314 522 685-2,Black Sheep,Non-Fiction,Mercury,"CD, Album",5,1994,2610076,RAP,2014-03-21 01:32:38,
314 534 900-2,Diamond D,"Hatred, Passions And Infidelity",Mercury,"CD, Album",5,1997,464050,RAP,2013-01-26 08:53:49,
314 534 900-2,Diamond D,"Hatred, Passions And Infidelity",Mercury,"CD, Album",5,1997,464050,RAP,2017-06-09 10:05:22,
314 568 511-2,Roni Size / Reprazent,Brown Paper Bag,Mercury,"CD, Maxi",5,1998,66877,NO RAP,2012-09-28 14:08:47,
422 856 937-2,Various,The Points,Mercury,"CD, Maxi",5,1995,3397801,RAP,2013-09-08 16:06:51,
518 880-2,downset.,downset.,Mercury,"CD, Album, RP",5,0,8572212,NO RAP,2017-10-29 16:36:17,
522 496-2,Yello,Zebra,Mercury,"CD, Album",5,1994,116529,NO RAP,2012-10-12 15:24:35,
538 584-2,Yello,Eccentrix Remixes,Mercury,"CD, Comp",5,1999,170075,NO RAP,2012-10-12 15:33:49,
546 706-2,Yello,Motion Picture,Mercury,"CD, Album",5,1999,2025027,NO RAP,2014-10-29 14:32:23,
548 552.2,Serge Gainsbourg,I ♥ Serge / Electronica Gainsbourg,Mercury,"CD, Album, Comp",5,2001,10171,NO RAP,2017-04-15 06:38:17,
574 121-2,Yello Featuring Stina Nordenstam,To The Sea,Mercury,"CD, Single",5,1997,151109,NO RAP,2012-10-12 15:37:37,
602537043217,Mark Knopfler,Privateering,Mercury,"2xCD, Album",4,2012,3892177,NO RAP,2013-11-30 08:07:35,
697 124 029-2,The Legion,Theme + Echo = Krill,Mercury,"CD, Album",5,1994,1138185,RAP,2009-08-20 00:00:00,
838 406-2,Chuck Chillout & Kool Chip,Masters Of The Rhythm,Mercury,"CD, Album",4,1989,744177,RAP,2013-09-21 13:26:12,
848 368-2,Black Sheep,A Wolf In Sheep's Clothing,Mercury,"CD, Album, RP",5,0,4945824,RAP,2017-05-31 03:54:30,
852 487-2,Yello,Jingle Bells,Mercury,"CD, Maxi",4,1995,166459,NO RAP,2012-10-12 15:23:14,
856 125-2,Ill Al Skratch Feat. Brian McKnight,I'll Take Her,Mercury,"CD, Maxi",5,1994,3084303,RAP,2015-10-02 14:18:17,
856 137-2,Yello,How How - 3 - The Fluke Mixes,Mercury,"CD, Maxi",,1994,165947,NO RAP,2017-11-17 08:44:37,
856 143-2,Yello,How How - 1 - The Originals,Mercury,"CD, Maxi",4,1994,165319,NO RAP,2012-10-12 15:25:25,
856 171-2,Black Sheep,Without A Doubt,Mercury,"CD, Maxi",5,1994,1547082,RAP,2010-06-12 09:19:53,
856 749-2,Yello,Tremendous Pain (Suite 904),Mercury,"CD, Single",5,1995,129352,NO RAP,2009-08-20 00:00:00,
856 800-2,Various,Freedom (Theme From Panther),Mercury,"CD, Single",5,1995,3727064,RAP,2012-07-10 10:23:39,
858 695-2,Yello,Do It,Mercury,"CD, Maxi",5,1994,165565,NO RAP,2009-08-20 00:00:00,
866 941-2,Black Sheep,Strobelite Honey,Mercury,"CD, Maxi",5,1992,794600,RAP,2012-08-08 05:49:50,
874 929-2,Yello,Blazing Saddles,Mercury,"CD, Maxi",5,1989,208427,NO RAP,2012-10-12 15:19:00,
981418-1,The Rapture,Sister Saviour,Mercury,"CD, Single",5,2003,1685011,NO RAP,2011-02-16 02:37:31,
9867260,Mark Knopfler,Shangri-La,Mercury,"CD, Album",4,2004,1210412,NO RAP,2013-11-30 08:04:24,
CDP 1018,Yaggfu Front,Busted Loop,Mercury,"CD, Single, Promo",5,1993,1917901,RAP,2009-09-07 13:06:02,
CDP 1197,Nefertiti (2),Visions Of Nefertiti,Mercury,"CD, Single, Promo, Car",4,1994,3719679,RAP,2012-07-07 03:56:18,
CDP 1478,Various,The Points,Mercury,"CD, Single, Promo",5,1995,3727086,RAP,2012-07-10 10:37:49,
CDP 605,Ultramagnetic MC's,Make It Happen,Mercury,"CD, Single, Promo",5,1991,1284261,RAP,2010-04-09 15:34:09,
CDP 697,Ultramagnetic MC's,Poppa Large,Mercury,"CD, Single, Promo",5,1992,1284263,RAP,2009-08-20 00:00:00,
CDP1153,Ed O.G & Da Bulldogs,Love Comes And Goes,Mercury,"CD, Single, Promo",,1994,3173906,RAP,2012-07-03 23:21:47,
MECP 342,Diamond D,Hiatus (Remix),Mercury,"CD, Single, Promo",5,1997,1411399,RAP,2009-08-20 00:00:00,
MERCD 369,Black Sheep,Strobelite Honey,Mercury,"CD, Maxi",5,1992,2027910,RAP,2014-08-26 09:56:12,
PHCR-8308,2 Unlimited,No One,Mercury,"CD, Maxi",4,1994,1415131,NO RAP,2013-04-12 04:34:54,
"MBVCD 2, MBVX 2, 852 789-2",Blahzay Blahzay,Danger,"Mercury Black Vinyl, Mercury Black Vinyl, Mercury Black Vinyl","CD, Single",4,1996,776171,RAP,2013-01-26 07:29:20,
858 607-2,Ed O.G & Da Bulldogs,Love Comes And Goes,"Mercury, Chemistry Records (2)","CD, Single",,1994,7146350,RAP,2017-11-14 14:02:27,
